// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 24 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\87141403-a494-42b2-aab0-5928c53fdaa4
// command took 1.71 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\87141403-a494-42b2-aab0-5928c53fdaa4
// command took 3.39 sec and exited with 0
// ***** Done, took 00:00:05 (5.21 sec)   *****
// Found 2 benchmarks:
//   PublishBenchmarks.'ConduitR.Publish (2 handlers)': DefaultJob
//   PublishBenchmarks.'MediatR.Publish (2 handlers)': DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: PublishBenchmarks.'ConduitR.Publish (2 handlers)': DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 87141403-a494-42b2-aab0-5928c53fdaa4.dll --anonymousPipes 1888 1848 --benchmarkName PublishBenchmarks.ConduitR_Publish --job Default --benchmarkId 0 in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\87141403-a494-42b2-aab0-5928c53fdaa4\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.11 (8.0.1124.51707), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 135600.00 ns, 135.6000 us/op
WorkloadJitting  1: 1 op, 5690400.00 ns, 5.6904 ms/op

OverheadJitting  2: 16 op, 130200.00 ns, 8.1375 us/op
WorkloadJitting  2: 16 op, 1636400.00 ns, 102.2750 us/op

WorkloadPilot    1: 16 op, 68400.00 ns, 4.2750 us/op
WorkloadPilot    2: 32 op, 80800.00 ns, 2.5250 us/op
WorkloadPilot    3: 64 op, 124300.00 ns, 1.9422 us/op
WorkloadPilot    4: 128 op, 231800.00 ns, 1.8109 us/op
WorkloadPilot    5: 256 op, 391300.00 ns, 1.5285 us/op
WorkloadPilot    6: 512 op, 817800.00 ns, 1.5973 us/op
WorkloadPilot    7: 1024 op, 1095000.00 ns, 1.0693 us/op
WorkloadPilot    8: 2048 op, 2331700.00 ns, 1.1385 us/op
WorkloadPilot    9: 4096 op, 4302200.00 ns, 1.0503 us/op
WorkloadPilot   10: 8192 op, 9329000.00 ns, 1.1388 us/op
WorkloadPilot   11: 16384 op, 17424800.00 ns, 1.0635 us/op
WorkloadPilot   12: 32768 op, 30245200.00 ns, 923.0103 ns/op
WorkloadPilot   13: 65536 op, 52974800.00 ns, 808.3313 ns/op
WorkloadPilot   14: 131072 op, 113228700.00 ns, 863.8664 ns/op
WorkloadPilot   15: 262144 op, 192386300.00 ns, 733.8955 ns/op
WorkloadPilot   16: 524288 op, 171815300.00 ns, 327.7117 ns/op
WorkloadPilot   17: 1048576 op, 355890600.00 ns, 339.4037 ns/op
WorkloadPilot   18: 2097152 op, 666972600.00 ns, 318.0373 ns/op

OverheadWarmup   1: 2097152 op, 3828900.00 ns, 1.8258 ns/op
OverheadWarmup   2: 2097152 op, 3789200.00 ns, 1.8068 ns/op
OverheadWarmup   3: 2097152 op, 4096100.00 ns, 1.9532 ns/op
OverheadWarmup   4: 2097152 op, 4364600.00 ns, 2.0812 ns/op
OverheadWarmup   5: 2097152 op, 4141000.00 ns, 1.9746 ns/op
OverheadWarmup   6: 2097152 op, 4201100.00 ns, 2.0032 ns/op
OverheadWarmup   7: 2097152 op, 3823200.00 ns, 1.8230 ns/op

OverheadActual   1: 2097152 op, 3776800.00 ns, 1.8009 ns/op
OverheadActual   2: 2097152 op, 3774200.00 ns, 1.7997 ns/op
OverheadActual   3: 2097152 op, 3874400.00 ns, 1.8475 ns/op
OverheadActual   4: 2097152 op, 3826900.00 ns, 1.8248 ns/op
OverheadActual   5: 2097152 op, 3785400.00 ns, 1.8050 ns/op
OverheadActual   6: 2097152 op, 3940900.00 ns, 1.8792 ns/op
OverheadActual   7: 2097152 op, 3918700.00 ns, 1.8686 ns/op
OverheadActual   8: 2097152 op, 3761000.00 ns, 1.7934 ns/op
OverheadActual   9: 2097152 op, 4062000.00 ns, 1.9369 ns/op
OverheadActual  10: 2097152 op, 3802600.00 ns, 1.8132 ns/op
OverheadActual  11: 2097152 op, 3699800.00 ns, 1.7642 ns/op
OverheadActual  12: 2097152 op, 3786700.00 ns, 1.8056 ns/op
OverheadActual  13: 2097152 op, 3924800.00 ns, 1.8715 ns/op
OverheadActual  14: 2097152 op, 3808900.00 ns, 1.8162 ns/op
OverheadActual  15: 2097152 op, 3695300.00 ns, 1.7621 ns/op

WorkloadWarmup   1: 2097152 op, 699228000.00 ns, 333.4179 ns/op
WorkloadWarmup   2: 2097152 op, 712036200.00 ns, 339.5253 ns/op
WorkloadWarmup   3: 2097152 op, 687158500.00 ns, 327.6627 ns/op
WorkloadWarmup   4: 2097152 op, 674264400.00 ns, 321.5143 ns/op
WorkloadWarmup   5: 2097152 op, 684892200.00 ns, 326.5821 ns/op
WorkloadWarmup   6: 2097152 op, 703164400.00 ns, 335.2949 ns/op
WorkloadWarmup   7: 2097152 op, 677647000.00 ns, 323.1273 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 722355100.00 ns, 344.4458 ns/op
WorkloadActual   2: 2097152 op, 742301700.00 ns, 353.9570 ns/op
WorkloadActual   3: 2097152 op, 741628600.00 ns, 353.6361 ns/op
WorkloadActual   4: 2097152 op, 730347500.00 ns, 348.2568 ns/op
WorkloadActual   5: 2097152 op, 711129800.00 ns, 339.0931 ns/op
WorkloadActual   6: 2097152 op, 717710100.00 ns, 342.2308 ns/op
WorkloadActual   7: 2097152 op, 732888000.00 ns, 349.4682 ns/op
WorkloadActual   8: 2097152 op, 727785700.00 ns, 347.0353 ns/op
WorkloadActual   9: 2097152 op, 739537200.00 ns, 352.6388 ns/op
WorkloadActual  10: 2097152 op, 720981100.00 ns, 343.7906 ns/op
WorkloadActual  11: 2097152 op, 709518900.00 ns, 338.3250 ns/op
WorkloadActual  12: 2097152 op, 697728700.00 ns, 332.7030 ns/op
WorkloadActual  13: 2097152 op, 688182300.00 ns, 328.1509 ns/op
WorkloadActual  14: 2097152 op, 690532000.00 ns, 329.2713 ns/op
WorkloadActual  15: 2097152 op, 698879700.00 ns, 333.2518 ns/op
WorkloadActual  16: 2097152 op, 698850900.00 ns, 333.2381 ns/op
WorkloadActual  17: 2097152 op, 691735800.00 ns, 329.8453 ns/op
WorkloadActual  18: 2097152 op, 750935300.00 ns, 358.0739 ns/op
WorkloadActual  19: 2097152 op, 756502300.00 ns, 360.7284 ns/op
WorkloadActual  20: 2097152 op, 734561900.00 ns, 350.2664 ns/op
WorkloadActual  21: 2097152 op, 732147400.00 ns, 349.1151 ns/op
WorkloadActual  22: 2097152 op, 726218300.00 ns, 346.2879 ns/op
WorkloadActual  23: 2097152 op, 731131700.00 ns, 348.6308 ns/op
WorkloadActual  24: 2097152 op, 732029300.00 ns, 349.0588 ns/op
WorkloadActual  25: 2097152 op, 687385600.00 ns, 327.7710 ns/op
WorkloadActual  26: 2097152 op, 690555700.00 ns, 329.2826 ns/op
WorkloadActual  27: 2097152 op, 677508500.00 ns, 323.0612 ns/op
WorkloadActual  28: 2097152 op, 678648600.00 ns, 323.6049 ns/op
WorkloadActual  29: 2097152 op, 693763600.00 ns, 330.8123 ns/op
WorkloadActual  30: 2097152 op, 681386000.00 ns, 324.9102 ns/op
WorkloadActual  31: 2097152 op, 676506900.00 ns, 322.5836 ns/op
WorkloadActual  32: 2097152 op, 714485900.00 ns, 340.6934 ns/op
WorkloadActual  33: 2097152 op, 721641700.00 ns, 344.1056 ns/op
WorkloadActual  34: 2097152 op, 714650000.00 ns, 340.7717 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 718552500.00 ns, 342.6325 ns/op
WorkloadResult   2: 2097152 op, 738499100.00 ns, 352.1438 ns/op
WorkloadResult   3: 2097152 op, 737826000.00 ns, 351.8229 ns/op
WorkloadResult   4: 2097152 op, 726544900.00 ns, 346.4436 ns/op
WorkloadResult   5: 2097152 op, 707327200.00 ns, 337.2799 ns/op
WorkloadResult   6: 2097152 op, 713907500.00 ns, 340.4176 ns/op
WorkloadResult   7: 2097152 op, 729085400.00 ns, 347.6550 ns/op
WorkloadResult   8: 2097152 op, 723983100.00 ns, 345.2220 ns/op
WorkloadResult   9: 2097152 op, 735734600.00 ns, 350.8256 ns/op
WorkloadResult  10: 2097152 op, 717178500.00 ns, 341.9774 ns/op
WorkloadResult  11: 2097152 op, 705716300.00 ns, 336.5118 ns/op
WorkloadResult  12: 2097152 op, 693926100.00 ns, 330.8897 ns/op
WorkloadResult  13: 2097152 op, 684379700.00 ns, 326.3377 ns/op
WorkloadResult  14: 2097152 op, 686729400.00 ns, 327.4581 ns/op
WorkloadResult  15: 2097152 op, 695077100.00 ns, 331.4386 ns/op
WorkloadResult  16: 2097152 op, 695048300.00 ns, 331.4249 ns/op
WorkloadResult  17: 2097152 op, 687933200.00 ns, 328.0321 ns/op
WorkloadResult  18: 2097152 op, 747132700.00 ns, 356.2606 ns/op
WorkloadResult  19: 2097152 op, 752699700.00 ns, 358.9152 ns/op
WorkloadResult  20: 2097152 op, 730759300.00 ns, 348.4532 ns/op
WorkloadResult  21: 2097152 op, 728344800.00 ns, 347.3019 ns/op
WorkloadResult  22: 2097152 op, 722415700.00 ns, 344.4746 ns/op
WorkloadResult  23: 2097152 op, 727329100.00 ns, 346.8175 ns/op
WorkloadResult  24: 2097152 op, 728226700.00 ns, 347.2456 ns/op
WorkloadResult  25: 2097152 op, 683583000.00 ns, 325.9578 ns/op
WorkloadResult  26: 2097152 op, 686753100.00 ns, 327.4694 ns/op
WorkloadResult  27: 2097152 op, 673705900.00 ns, 321.2480 ns/op
WorkloadResult  28: 2097152 op, 674846000.00 ns, 321.7916 ns/op
WorkloadResult  29: 2097152 op, 689961000.00 ns, 328.9990 ns/op
WorkloadResult  30: 2097152 op, 677583400.00 ns, 323.0969 ns/op
WorkloadResult  31: 2097152 op, 672704300.00 ns, 320.7704 ns/op
WorkloadResult  32: 2097152 op, 710683300.00 ns, 338.8802 ns/op
WorkloadResult  33: 2097152 op, 717839100.00 ns, 342.2924 ns/op
WorkloadResult  34: 2097152 op, 710847400.00 ns, 338.9585 ns/op
// GC:  78 0 0 989856432 2097152
// Threading:  0 0 2097152

// AfterAll
// Benchmark Process 11640 has exited with code 0.

Mean = 338.454 ns, StdErr = 1.861 ns (0.55%), N = 34, StdDev = 10.851 ns
Min = 320.770 ns, Q1 = 328.274 ns, Median = 339.688 ns, Q3 = 347.139 ns, Max = 358.915 ns
IQR = 18.865 ns, LowerFence = 299.977 ns, UpperFence = 375.436 ns
ConfidenceInterval = [331.735 ns; 345.174 ns] (CI 99.9%), Margin = 6.720 ns (1.99% of Mean)
Skewness = -0.05, Kurtosis = 1.76, MValue = 2.77

// ** Remained 23 (95.8%) benchmark(s) to run. Estimated finish 2025-08-13 19:15 (0h 12m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: PublishBenchmarks.'MediatR.Publish (2 handlers)': DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 87141403-a494-42b2-aab0-5928c53fdaa4.dll --anonymousPipes 2408 860 --benchmarkName PublishBenchmarks.MediatR_Publish --job Default --benchmarkId 1 in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\87141403-a494-42b2-aab0-5928c53fdaa4\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.11 (8.0.1124.51707), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 147600.00 ns, 147.6000 us/op
WorkloadJitting  1: 1 op, 3542000.00 ns, 3.5420 ms/op

OverheadJitting  2: 16 op, 139900.00 ns, 8.7438 us/op
WorkloadJitting  2: 16 op, 1592000.00 ns, 99.5000 us/op

WorkloadPilot    1: 16 op, 32300.00 ns, 2.0187 us/op
WorkloadPilot    2: 32 op, 56100.00 ns, 1.7531 us/op
WorkloadPilot    3: 64 op, 66900.00 ns, 1.0453 us/op
WorkloadPilot    4: 128 op, 139900.00 ns, 1.0930 us/op
WorkloadPilot    5: 256 op, 263200.00 ns, 1.0281 us/op
WorkloadPilot    6: 512 op, 484500.00 ns, 946.2891 ns/op
WorkloadPilot    7: 1024 op, 556300.00 ns, 543.2617 ns/op
WorkloadPilot    8: 2048 op, 1110600.00 ns, 542.2852 ns/op
WorkloadPilot    9: 4096 op, 2180300.00 ns, 532.2998 ns/op
WorkloadPilot   10: 8192 op, 4234200.00 ns, 516.8701 ns/op
WorkloadPilot   11: 16384 op, 8519500.00 ns, 519.9890 ns/op
WorkloadPilot   12: 32768 op, 16543700.00 ns, 504.8737 ns/op
WorkloadPilot   13: 65536 op, 23735800.00 ns, 362.1796 ns/op
WorkloadPilot   14: 131072 op, 46874900.00 ns, 357.6271 ns/op
WorkloadPilot   15: 262144 op, 129235300.00 ns, 492.9935 ns/op
WorkloadPilot   16: 524288 op, 45355700.00 ns, 86.5091 ns/op
WorkloadPilot   17: 1048576 op, 87624500.00 ns, 83.5652 ns/op
WorkloadPilot   18: 2097152 op, 178120300.00 ns, 84.9344 ns/op
WorkloadPilot   19: 4194304 op, 354972800.00 ns, 84.6321 ns/op
WorkloadPilot   20: 8388608 op, 710267100.00 ns, 84.6704 ns/op

OverheadWarmup   1: 8388608 op, 15205200.00 ns, 1.8126 ns/op
OverheadWarmup   2: 8388608 op, 15609100.00 ns, 1.8607 ns/op
OverheadWarmup   3: 8388608 op, 14226400.00 ns, 1.6959 ns/op
OverheadWarmup   4: 8388608 op, 13676000.00 ns, 1.6303 ns/op
OverheadWarmup   5: 8388608 op, 13972900.00 ns, 1.6657 ns/op
OverheadWarmup   6: 8388608 op, 14183500.00 ns, 1.6908 ns/op
OverheadWarmup   7: 8388608 op, 14371200.00 ns, 1.7132 ns/op
OverheadWarmup   8: 8388608 op, 15231800.00 ns, 1.8158 ns/op
OverheadWarmup   9: 8388608 op, 14262500.00 ns, 1.7002 ns/op

OverheadActual   1: 8388608 op, 14813800.00 ns, 1.7659 ns/op
OverheadActual   2: 8388608 op, 15276800.00 ns, 1.8211 ns/op
OverheadActual   3: 8388608 op, 15161400.00 ns, 1.8074 ns/op
OverheadActual   4: 8388608 op, 15016200.00 ns, 1.7901 ns/op
OverheadActual   5: 8388608 op, 14099300.00 ns, 1.6808 ns/op
OverheadActual   6: 8388608 op, 14401100.00 ns, 1.7167 ns/op
OverheadActual   7: 8388608 op, 14500600.00 ns, 1.7286 ns/op
OverheadActual   8: 8388608 op, 14227700.00 ns, 1.6961 ns/op
OverheadActual   9: 8388608 op, 14148700.00 ns, 1.6867 ns/op
OverheadActual  10: 8388608 op, 14076600.00 ns, 1.6781 ns/op
OverheadActual  11: 8388608 op, 14259400.00 ns, 1.6999 ns/op
OverheadActual  12: 8388608 op, 14377000.00 ns, 1.7139 ns/op
OverheadActual  13: 8388608 op, 12338800.00 ns, 1.4709 ns/op
OverheadActual  14: 8388608 op, 11362000.00 ns, 1.3545 ns/op
OverheadActual  15: 8388608 op, 11188100.00 ns, 1.3337 ns/op
OverheadActual  16: 8388608 op, 11718800.00 ns, 1.3970 ns/op
OverheadActual  17: 8388608 op, 11603600.00 ns, 1.3833 ns/op
OverheadActual  18: 8388608 op, 11947500.00 ns, 1.4243 ns/op
OverheadActual  19: 8388608 op, 12099300.00 ns, 1.4423 ns/op
OverheadActual  20: 8388608 op, 11492000.00 ns, 1.3700 ns/op

WorkloadWarmup   1: 8388608 op, 748546200.00 ns, 89.2337 ns/op
WorkloadWarmup   2: 8388608 op, 716811600.00 ns, 85.4506 ns/op
WorkloadWarmup   3: 8388608 op, 720627100.00 ns, 85.9054 ns/op
WorkloadWarmup   4: 8388608 op, 709191300.00 ns, 84.5422 ns/op
WorkloadWarmup   5: 8388608 op, 725998500.00 ns, 86.5458 ns/op
WorkloadWarmup   6: 8388608 op, 732931800.00 ns, 87.3723 ns/op
