// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 24 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\eee799b8-8113-46ee-9950-bc814af66a8b
// command took 1.87 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\eee799b8-8113-46ee-9950-bc814af66a8b
// command took 3.86 sec and exited with 0
// ***** Done, took 00:00:05 (5.85 sec)   *****
// Found 2 benchmarks:
//   PublishBenchmarks.'ConduitR.Publish (2 handlers)': DefaultJob
//   PublishBenchmarks.'MediatR.Publish (2 handlers)': DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: PublishBenchmarks.'ConduitR.Publish (2 handlers)': DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet eee799b8-8113-46ee-9950-bc814af66a8b.dll --anonymousPipes 2868 2880 --benchmarkName PublishBenchmarks.ConduitR_Publish --job Default --benchmarkId 0 in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\eee799b8-8113-46ee-9950-bc814af66a8b\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.11 (8.0.1124.51707), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 202300.00 ns, 202.3000 us/op
WorkloadJitting  1: 1 op, 5707700.00 ns, 5.7077 ms/op

OverheadJitting  2: 16 op, 175300.00 ns, 10.9563 us/op
WorkloadJitting  2: 16 op, 1699000.00 ns, 106.1875 us/op

WorkloadPilot    1: 16 op, 50900.00 ns, 3.1812 us/op
WorkloadPilot    2: 32 op, 71100.00 ns, 2.2219 us/op
WorkloadPilot    3: 64 op, 129300.00 ns, 2.0203 us/op
WorkloadPilot    4: 128 op, 247300.00 ns, 1.9320 us/op
WorkloadPilot    5: 256 op, 449900.00 ns, 1.7574 us/op
WorkloadPilot    6: 512 op, 795300.00 ns, 1.5533 us/op
WorkloadPilot    7: 1024 op, 1208700.00 ns, 1.1804 us/op
WorkloadPilot    8: 2048 op, 2439800.00 ns, 1.1913 us/op
WorkloadPilot    9: 4096 op, 4965900.00 ns, 1.2124 us/op
WorkloadPilot   10: 8192 op, 10504700.00 ns, 1.2823 us/op
WorkloadPilot   11: 16384 op, 25132600.00 ns, 1.5340 us/op
WorkloadPilot   12: 32768 op, 39334500.00 ns, 1.2004 us/op
WorkloadPilot   13: 65536 op, 74350900.00 ns, 1.1345 us/op
WorkloadPilot   14: 131072 op, 146902900.00 ns, 1.1208 us/op
WorkloadPilot   15: 262144 op, 171730300.00 ns, 655.0991 ns/op
WorkloadPilot   16: 524288 op, 264327400.00 ns, 504.1645 ns/op
WorkloadPilot   17: 1048576 op, 434480500.00 ns, 414.3529 ns/op
WorkloadPilot   18: 2097152 op, 814191300.00 ns, 388.2367 ns/op

OverheadWarmup   1: 2097152 op, 5664000.00 ns, 2.7008 ns/op
OverheadWarmup   2: 2097152 op, 5336200.00 ns, 2.5445 ns/op
OverheadWarmup   3: 2097152 op, 5724300.00 ns, 2.7296 ns/op
OverheadWarmup   4: 2097152 op, 5655600.00 ns, 2.6968 ns/op
OverheadWarmup   5: 2097152 op, 5780900.00 ns, 2.7565 ns/op
OverheadWarmup   6: 2097152 op, 5345400.00 ns, 2.5489 ns/op

OverheadActual   1: 2097152 op, 6124300.00 ns, 2.9203 ns/op
OverheadActual   2: 2097152 op, 5651300.00 ns, 2.6947 ns/op
OverheadActual   3: 2097152 op, 5365500.00 ns, 2.5585 ns/op
OverheadActual   4: 2097152 op, 5336700.00 ns, 2.5447 ns/op
OverheadActual   5: 2097152 op, 5764200.00 ns, 2.7486 ns/op
OverheadActual   6: 2097152 op, 5361800.00 ns, 2.5567 ns/op
OverheadActual   7: 2097152 op, 5452000.00 ns, 2.5997 ns/op
OverheadActual   8: 2097152 op, 5333800.00 ns, 2.5434 ns/op
OverheadActual   9: 2097152 op, 5369300.00 ns, 2.5603 ns/op
OverheadActual  10: 2097152 op, 5476700.00 ns, 2.6115 ns/op
OverheadActual  11: 2097152 op, 6106500.00 ns, 2.9118 ns/op
OverheadActual  12: 2097152 op, 5379400.00 ns, 2.5651 ns/op
OverheadActual  13: 2097152 op, 5339300.00 ns, 2.5460 ns/op
OverheadActual  14: 2097152 op, 5389500.00 ns, 2.5699 ns/op
OverheadActual  15: 2097152 op, 5852900.00 ns, 2.7909 ns/op
OverheadActual  16: 2097152 op, 5488300.00 ns, 2.6170 ns/op

WorkloadWarmup   1: 2097152 op, 919874600.00 ns, 438.6304 ns/op
WorkloadWarmup   2: 2097152 op, 844671600.00 ns, 402.7708 ns/op
WorkloadWarmup   3: 2097152 op, 793757700.00 ns, 378.4932 ns/op
WorkloadWarmup   4: 2097152 op, 845032700.00 ns, 402.9430 ns/op
WorkloadWarmup   5: 2097152 op, 798003000.00 ns, 380.5175 ns/op
WorkloadWarmup   6: 2097152 op, 790203400.00 ns, 376.7983 ns/op
WorkloadWarmup   7: 2097152 op, 1437607500.00 ns, 685.5047 ns/op
WorkloadWarmup   8: 2097152 op, 919630700.00 ns, 438.5141 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 697048300.00 ns, 332.3785 ns/op
WorkloadActual   2: 2097152 op, 667295900.00 ns, 318.1915 ns/op
WorkloadActual   3: 2097152 op, 659338600.00 ns, 314.3971 ns/op
WorkloadActual   4: 2097152 op, 650745500.00 ns, 310.2996 ns/op
WorkloadActual   5: 2097152 op, 693585200.00 ns, 330.7272 ns/op
WorkloadActual   6: 2097152 op, 921555400.00 ns, 439.4319 ns/op
WorkloadActual   7: 2097152 op, 800285900.00 ns, 381.6061 ns/op
WorkloadActual   8: 2097152 op, 672949700.00 ns, 320.8874 ns/op
WorkloadActual   9: 2097152 op, 734154600.00 ns, 350.0722 ns/op
WorkloadActual  10: 2097152 op, 818670700.00 ns, 390.3726 ns/op
WorkloadActual  11: 2097152 op, 973677400.00 ns, 464.2856 ns/op
WorkloadActual  12: 2097152 op, 750102400.00 ns, 357.6767 ns/op
WorkloadActual  13: 2097152 op, 796766400.00 ns, 379.9278 ns/op
WorkloadActual  14: 2097152 op, 762430900.00 ns, 363.5554 ns/op
WorkloadActual  15: 2097152 op, 721442100.00 ns, 344.0104 ns/op
WorkloadActual  16: 2097152 op, 804269600.00 ns, 383.5056 ns/op
WorkloadActual  17: 2097152 op, 836489700.00 ns, 398.8694 ns/op
WorkloadActual  18: 2097152 op, 920920600.00 ns, 439.1292 ns/op
WorkloadActual  19: 2097152 op, 739209900.00 ns, 352.4827 ns/op
WorkloadActual  20: 2097152 op, 682337600.00 ns, 325.3639 ns/op
WorkloadActual  21: 2097152 op, 686032100.00 ns, 327.1256 ns/op
WorkloadActual  22: 2097152 op, 683462900.00 ns, 325.9005 ns/op
WorkloadActual  23: 2097152 op, 771002800.00 ns, 367.6428 ns/op
WorkloadActual  24: 2097152 op, 958428100.00 ns, 457.0141 ns/op
WorkloadActual  25: 2097152 op, 979234100.00 ns, 466.9352 ns/op
WorkloadActual  26: 2097152 op, 747924600.00 ns, 356.6382 ns/op
WorkloadActual  27: 2097152 op, 749590900.00 ns, 357.4328 ns/op
WorkloadActual  28: 2097152 op, 800108000.00 ns, 381.5212 ns/op
WorkloadActual  29: 2097152 op, 795243000.00 ns, 379.2014 ns/op
WorkloadActual  30: 2097152 op, 874491200.00 ns, 416.9899 ns/op
WorkloadActual  31: 2097152 op, 1064616800.00 ns, 507.6488 ns/op
WorkloadActual  32: 2097152 op, 877893500.00 ns, 418.6122 ns/op
WorkloadActual  33: 2097152 op, 848603400.00 ns, 404.6456 ns/op
WorkloadActual  34: 2097152 op, 732917300.00 ns, 349.4822 ns/op
WorkloadActual  35: 2097152 op, 813021900.00 ns, 387.6791 ns/op
WorkloadActual  36: 2097152 op, 818677200.00 ns, 390.3757 ns/op
WorkloadActual  37: 2097152 op, 1018775500.00 ns, 485.7900 ns/op
WorkloadActual  38: 2097152 op, 719296700.00 ns, 342.9874 ns/op
WorkloadActual  39: 2097152 op, 812761500.00 ns, 387.5549 ns/op
WorkloadActual  40: 2097152 op, 813911300.00 ns, 388.1032 ns/op
WorkloadActual  41: 2097152 op, 792562700.00 ns, 377.9233 ns/op
WorkloadActual  42: 2097152 op, 809656300.00 ns, 386.0742 ns/op
WorkloadActual  43: 2097152 op, 947497100.00 ns, 451.8018 ns/op
WorkloadActual  44: 2097152 op, 755502400.00 ns, 360.2516 ns/op
WorkloadActual  45: 2097152 op, 741379300.00 ns, 353.5172 ns/op
WorkloadActual  46: 2097152 op, 809408900.00 ns, 385.9562 ns/op
WorkloadActual  47: 2097152 op, 799775000.00 ns, 381.3624 ns/op
WorkloadActual  48: 2097152 op, 954629600.00 ns, 455.2029 ns/op
WorkloadActual  49: 2097152 op, 907869700.00 ns, 432.9060 ns/op
WorkloadActual  50: 2097152 op, 858991300.00 ns, 409.5990 ns/op
WorkloadActual  51: 2097152 op, 875897200.00 ns, 417.6603 ns/op
WorkloadActual  52: 2097152 op, 831807500.00 ns, 396.6367 ns/op
WorkloadActual  53: 2097152 op, 879918600.00 ns, 419.5779 ns/op
WorkloadActual  54: 2097152 op, 807547400.00 ns, 385.0686 ns/op
WorkloadActual  55: 2097152 op, 967145200.00 ns, 461.1708 ns/op
WorkloadActual  56: 2097152 op, 837322900.00 ns, 399.2667 ns/op
WorkloadActual  57: 2097152 op, 793824900.00 ns, 378.5252 ns/op
WorkloadActual  58: 2097152 op, 814068200.00 ns, 388.1780 ns/op
WorkloadActual  59: 2097152 op, 709336100.00 ns, 338.2378 ns/op
WorkloadActual  60: 2097152 op, 702870100.00 ns, 335.1546 ns/op
WorkloadActual  61: 2097152 op, 711773700.00 ns, 339.4001 ns/op
WorkloadActual  62: 2097152 op, 704531300.00 ns, 335.9467 ns/op
WorkloadActual  63: 2097152 op, 975837500.00 ns, 465.3156 ns/op
WorkloadActual  64: 2097152 op, 775623100.00 ns, 369.8459 ns/op
WorkloadActual  65: 2097152 op, 740685700.00 ns, 353.1865 ns/op
WorkloadActual  66: 2097152 op, 812871100.00 ns, 387.6071 ns/op
WorkloadActual  67: 2097152 op, 755653600.00 ns, 360.3237 ns/op
WorkloadActual  68: 2097152 op, 789635700.00 ns, 376.5276 ns/op
WorkloadActual  69: 2097152 op, 1023042700.00 ns, 487.8248 ns/op
WorkloadActual  70: 2097152 op, 835582200.00 ns, 398.4366 ns/op
WorkloadActual  71: 2097152 op, 805835600.00 ns, 384.2524 ns/op
WorkloadActual  72: 2097152 op, 765520400.00 ns, 365.0286 ns/op
WorkloadActual  73: 2097152 op, 955015700.00 ns, 455.3870 ns/op
WorkloadActual  74: 2097152 op, 843693600.00 ns, 402.3045 ns/op
WorkloadActual  75: 2097152 op, 1229811500.00 ns, 586.4198 ns/op
WorkloadActual  76: 2097152 op, 1293255000.00 ns, 616.6720 ns/op
WorkloadActual  77: 2097152 op, 1138297700.00 ns, 542.7826 ns/op
WorkloadActual  78: 2097152 op, 960922100.00 ns, 458.2034 ns/op
WorkloadActual  79: 2097152 op, 929362100.00 ns, 443.1544 ns/op
WorkloadActual  80: 2097152 op, 807674700.00 ns, 385.1293 ns/op
WorkloadActual  81: 2097152 op, 802869700.00 ns, 382.8381 ns/op
WorkloadActual  82: 2097152 op, 965409300.00 ns, 460.3430 ns/op
WorkloadActual  83: 2097152 op, 807717100.00 ns, 385.1495 ns/op
WorkloadActual  84: 2097152 op, 791878500.00 ns, 377.5971 ns/op
WorkloadActual  85: 2097152 op, 921147000.00 ns, 439.2371 ns/op
WorkloadActual  86: 2097152 op, 913084100.00 ns, 435.3924 ns/op
WorkloadActual  87: 2097152 op, 806873600.00 ns, 384.7473 ns/op
WorkloadActual  88: 2097152 op, 818404900.00 ns, 390.2459 ns/op
WorkloadActual  89: 2097152 op, 896410400.00 ns, 427.4418 ns/op
WorkloadActual  90: 2097152 op, 735435600.00 ns, 350.6830 ns/op
WorkloadActual  91: 2097152 op, 764667700.00 ns, 364.6220 ns/op
WorkloadActual  92: 2097152 op, 742747000.00 ns, 354.1694 ns/op
WorkloadActual  93: 2097152 op, 732298200.00 ns, 349.1870 ns/op
WorkloadActual  94: 2097152 op, 721442400.00 ns, 344.0105 ns/op
WorkloadActual  95: 2097152 op, 705445700.00 ns, 336.3827 ns/op
WorkloadActual  96: 2097152 op, 730029700.00 ns, 348.1053 ns/op
WorkloadActual  97: 2097152 op, 715581900.00 ns, 341.2160 ns/op
WorkloadActual  98: 2097152 op, 722770800.00 ns, 344.6440 ns/op
WorkloadActual  99: 2097152 op, 724136400.00 ns, 345.2951 ns/op
WorkloadActual  100: 2097152 op, 719353200.00 ns, 343.0143 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 691627550.00 ns, 329.7937 ns/op
WorkloadResult   2: 2097152 op, 661875150.00 ns, 315.6067 ns/op
WorkloadResult   3: 2097152 op, 653917850.00 ns, 311.8123 ns/op
WorkloadResult   4: 2097152 op, 645324750.00 ns, 307.7148 ns/op
WorkloadResult   5: 2097152 op, 688164450.00 ns, 328.1424 ns/op
WorkloadResult   6: 2097152 op, 916134650.00 ns, 436.8470 ns/op
WorkloadResult   7: 2097152 op, 794865150.00 ns, 379.0212 ns/op
WorkloadResult   8: 2097152 op, 667528950.00 ns, 318.3026 ns/op
WorkloadResult   9: 2097152 op, 728733850.00 ns, 347.4874 ns/op
WorkloadResult  10: 2097152 op, 813249950.00 ns, 387.7878 ns/op
WorkloadResult  11: 2097152 op, 968256650.00 ns, 461.7007 ns/op
WorkloadResult  12: 2097152 op, 744681650.00 ns, 355.0919 ns/op
WorkloadResult  13: 2097152 op, 791345650.00 ns, 377.3430 ns/op
WorkloadResult  14: 2097152 op, 757010150.00 ns, 360.9706 ns/op
WorkloadResult  15: 2097152 op, 716021350.00 ns, 341.4256 ns/op
WorkloadResult  16: 2097152 op, 798848850.00 ns, 380.9208 ns/op
WorkloadResult  17: 2097152 op, 831068950.00 ns, 396.2846 ns/op
WorkloadResult  18: 2097152 op, 915499850.00 ns, 436.5443 ns/op
WorkloadResult  19: 2097152 op, 733789150.00 ns, 349.8979 ns/op
WorkloadResult  20: 2097152 op, 676916850.00 ns, 322.7791 ns/op
WorkloadResult  21: 2097152 op, 680611350.00 ns, 324.5408 ns/op
WorkloadResult  22: 2097152 op, 678042150.00 ns, 323.3157 ns/op
WorkloadResult  23: 2097152 op, 765582050.00 ns, 365.0580 ns/op
WorkloadResult  24: 2097152 op, 953007350.00 ns, 454.4293 ns/op
WorkloadResult  25: 2097152 op, 973813350.00 ns, 464.3504 ns/op
WorkloadResult  26: 2097152 op, 742503850.00 ns, 354.0534 ns/op
WorkloadResult  27: 2097152 op, 744170150.00 ns, 354.8480 ns/op
WorkloadResult  28: 2097152 op, 794687250.00 ns, 378.9364 ns/op
WorkloadResult  29: 2097152 op, 789822250.00 ns, 376.6166 ns/op
WorkloadResult  30: 2097152 op, 869070450.00 ns, 414.4051 ns/op
WorkloadResult  31: 2097152 op, 1059196050.00 ns, 505.0640 ns/op
WorkloadResult  32: 2097152 op, 872472750.00 ns, 416.0274 ns/op
WorkloadResult  33: 2097152 op, 843182650.00 ns, 402.0608 ns/op
WorkloadResult  34: 2097152 op, 727496550.00 ns, 346.8974 ns/op
WorkloadResult  35: 2097152 op, 807601150.00 ns, 385.0942 ns/op
WorkloadResult  36: 2097152 op, 813256450.00 ns, 387.7909 ns/op
WorkloadResult  37: 2097152 op, 1013354750.00 ns, 483.2052 ns/op
WorkloadResult  38: 2097152 op, 713875950.00 ns, 340.4026 ns/op
WorkloadResult  39: 2097152 op, 807340750.00 ns, 384.9701 ns/op
WorkloadResult  40: 2097152 op, 808490550.00 ns, 385.5183 ns/op
WorkloadResult  41: 2097152 op, 787141950.00 ns, 375.3385 ns/op
WorkloadResult  42: 2097152 op, 804235550.00 ns, 383.4894 ns/op
WorkloadResult  43: 2097152 op, 942076350.00 ns, 449.2170 ns/op
WorkloadResult  44: 2097152 op, 750081650.00 ns, 357.6668 ns/op
WorkloadResult  45: 2097152 op, 735958550.00 ns, 350.9324 ns/op
WorkloadResult  46: 2097152 op, 803988150.00 ns, 383.3714 ns/op
WorkloadResult  47: 2097152 op, 794354250.00 ns, 378.7776 ns/op
WorkloadResult  48: 2097152 op, 949208850.00 ns, 452.6181 ns/op
