// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 24 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\7f781626-e973-4ac9-941d-acaa865966d4
// command took 1.55 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\7f781626-e973-4ac9-941d-acaa865966d4
// command took 3.64 sec and exited with 0
// ***** Done, took 00:00:05 (5.35 sec)   *****
// Found 2 benchmarks:
//   PublishBenchmarks.'ConduitR.Publish (2 handlers)': DefaultJob
//   PublishBenchmarks.'MediatR.Publish (2 handlers)': DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: PublishBenchmarks.'ConduitR.Publish (2 handlers)': DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 7f781626-e973-4ac9-941d-acaa865966d4.dll --anonymousPipes 2884 1316 --benchmarkName PublishBenchmarks.ConduitR_Publish --job Default --benchmarkId 0 in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\7f781626-e973-4ac9-941d-acaa865966d4\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.11 (8.0.1124.51707), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 207900.00 ns, 207.9000 us/op
WorkloadJitting  1: 1 op, 5835700.00 ns, 5.8357 ms/op

OverheadJitting  2: 16 op, 169500.00 ns, 10.5938 us/op
WorkloadJitting  2: 16 op, 1651700.00 ns, 103.2313 us/op

WorkloadPilot    1: 16 op, 67000.00 ns, 4.1875 us/op
WorkloadPilot    2: 32 op, 73200.00 ns, 2.2875 us/op
WorkloadPilot    3: 64 op, 127000.00 ns, 1.9844 us/op
WorkloadPilot    4: 128 op, 248700.00 ns, 1.9430 us/op
WorkloadPilot    5: 256 op, 577400.00 ns, 2.2555 us/op
WorkloadPilot    6: 512 op, 772400.00 ns, 1.5086 us/op
WorkloadPilot    7: 1024 op, 1199600.00 ns, 1.1715 us/op
WorkloadPilot    8: 2048 op, 2505900.00 ns, 1.2236 us/op
WorkloadPilot    9: 4096 op, 4568600.00 ns, 1.1154 us/op
WorkloadPilot   10: 8192 op, 9732700.00 ns, 1.1881 us/op
WorkloadPilot   11: 16384 op, 17713000.00 ns, 1.0811 us/op
WorkloadPilot   12: 32768 op, 37020600.00 ns, 1.1298 us/op
WorkloadPilot   13: 65536 op, 63101700.00 ns, 962.8555 ns/op
WorkloadPilot   14: 131072 op, 137056100.00 ns, 1.0457 us/op
WorkloadPilot   15: 262144 op, 169558100.00 ns, 646.8128 ns/op
WorkloadPilot   16: 524288 op, 185302900.00 ns, 353.4372 ns/op
WorkloadPilot   17: 1048576 op, 376411100.00 ns, 358.9736 ns/op
WorkloadPilot   18: 2097152 op, 749812900.00 ns, 357.5387 ns/op

OverheadWarmup   1: 2097152 op, 5500700.00 ns, 2.6229 ns/op
OverheadWarmup   2: 2097152 op, 5142500.00 ns, 2.4521 ns/op
OverheadWarmup   3: 2097152 op, 4978000.00 ns, 2.3737 ns/op
OverheadWarmup   4: 2097152 op, 5350500.00 ns, 2.5513 ns/op
OverheadWarmup   5: 2097152 op, 4877500.00 ns, 2.3258 ns/op
OverheadWarmup   6: 2097152 op, 4957000.00 ns, 2.3637 ns/op
OverheadWarmup   7: 2097152 op, 5082100.00 ns, 2.4233 ns/op
OverheadWarmup   8: 2097152 op, 5102400.00 ns, 2.4330 ns/op
OverheadWarmup   9: 2097152 op, 5072700.00 ns, 2.4189 ns/op

OverheadActual   1: 2097152 op, 5052600.00 ns, 2.4093 ns/op
OverheadActual   2: 2097152 op, 5048200.00 ns, 2.4072 ns/op
OverheadActual   3: 2097152 op, 5176100.00 ns, 2.4682 ns/op
OverheadActual   4: 2097152 op, 5013400.00 ns, 2.3906 ns/op
OverheadActual   5: 2097152 op, 5110100.00 ns, 2.4367 ns/op
OverheadActual   6: 2097152 op, 5055000.00 ns, 2.4104 ns/op
OverheadActual   7: 2097152 op, 5058900.00 ns, 2.4123 ns/op
OverheadActual   8: 2097152 op, 5081600.00 ns, 2.4231 ns/op
OverheadActual   9: 2097152 op, 5001700.00 ns, 2.3850 ns/op
OverheadActual  10: 2097152 op, 4910400.00 ns, 2.3415 ns/op
OverheadActual  11: 2097152 op, 5009900.00 ns, 2.3889 ns/op
OverheadActual  12: 2097152 op, 4997200.00 ns, 2.3829 ns/op
OverheadActual  13: 2097152 op, 5026500.00 ns, 2.3968 ns/op
OverheadActual  14: 2097152 op, 5053800.00 ns, 2.4098 ns/op
OverheadActual  15: 2097152 op, 5056600.00 ns, 2.4112 ns/op

WorkloadWarmup   1: 2097152 op, 756128200.00 ns, 360.5500 ns/op
WorkloadWarmup   2: 2097152 op, 687192300.00 ns, 327.6788 ns/op
WorkloadWarmup   3: 2097152 op, 1004195700.00 ns, 478.8378 ns/op
WorkloadWarmup   4: 2097152 op, 807476300.00 ns, 385.0347 ns/op
WorkloadWarmup   5: 2097152 op, 735033300.00 ns, 350.4912 ns/op
WorkloadWarmup   6: 2097152 op, 756470500.00 ns, 360.7132 ns/op
WorkloadWarmup   7: 2097152 op, 734596800.00 ns, 350.2831 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 759851500.00 ns, 362.3254 ns/op
WorkloadActual   2: 2097152 op, 807355300.00 ns, 384.9770 ns/op
WorkloadActual   3: 2097152 op, 820632800.00 ns, 391.3082 ns/op
WorkloadActual   4: 2097152 op, 751166700.00 ns, 358.1842 ns/op
WorkloadActual   5: 2097152 op, 764566000.00 ns, 364.5735 ns/op
WorkloadActual   6: 2097152 op, 910897300.00 ns, 434.3497 ns/op
WorkloadActual   7: 2097152 op, 798986500.00 ns, 380.9865 ns/op
WorkloadActual   8: 2097152 op, 701158800.00 ns, 334.3386 ns/op
WorkloadActual   9: 2097152 op, 665018800.00 ns, 317.1057 ns/op
WorkloadActual  10: 2097152 op, 657705900.00 ns, 313.6186 ns/op
WorkloadActual  11: 2097152 op, 692053600.00 ns, 329.9969 ns/op
WorkloadActual  12: 2097152 op, 641418000.00 ns, 305.8519 ns/op
WorkloadActual  13: 2097152 op, 742088600.00 ns, 353.8554 ns/op
WorkloadActual  14: 2097152 op, 802447300.00 ns, 382.6367 ns/op
WorkloadActual  15: 2097152 op, 769571200.00 ns, 366.9601 ns/op
WorkloadActual  16: 2097152 op, 810839100.00 ns, 386.6382 ns/op
WorkloadActual  17: 2097152 op, 914218500.00 ns, 435.9334 ns/op
WorkloadActual  18: 2097152 op, 904453400.00 ns, 431.2770 ns/op
WorkloadActual  19: 2097152 op, 832941900.00 ns, 397.1776 ns/op
WorkloadActual  20: 2097152 op, 849274500.00 ns, 404.9656 ns/op
WorkloadActual  21: 2097152 op, 821570600.00 ns, 391.7554 ns/op
WorkloadActual  22: 2097152 op, 875495400.00 ns, 417.4687 ns/op
WorkloadActual  23: 2097152 op, 877793500.00 ns, 418.5646 ns/op
WorkloadActual  24: 2097152 op, 936821600.00 ns, 446.7113 ns/op
WorkloadActual  25: 2097152 op, 820098700.00 ns, 391.0535 ns/op
WorkloadActual  26: 2097152 op, 683733100.00 ns, 326.0293 ns/op
WorkloadActual  27: 2097152 op, 678986200.00 ns, 323.7659 ns/op
WorkloadActual  28: 2097152 op, 736684300.00 ns, 351.2784 ns/op
WorkloadActual  29: 2097152 op, 640202000.00 ns, 305.2721 ns/op
WorkloadActual  30: 2097152 op, 667379500.00 ns, 318.2313 ns/op
WorkloadActual  31: 2097152 op, 661443400.00 ns, 315.4008 ns/op
WorkloadActual  32: 2097152 op, 668004600.00 ns, 318.5294 ns/op
WorkloadActual  33: 2097152 op, 673810400.00 ns, 321.2978 ns/op
WorkloadActual  34: 2097152 op, 675381600.00 ns, 322.0470 ns/op
WorkloadActual  35: 2097152 op, 679319900.00 ns, 323.9250 ns/op
WorkloadActual  36: 2097152 op, 674703600.00 ns, 321.7237 ns/op
WorkloadActual  37: 2097152 op, 703505800.00 ns, 335.4577 ns/op
WorkloadActual  38: 2097152 op, 689471700.00 ns, 328.7657 ns/op
WorkloadActual  39: 2097152 op, 659077300.00 ns, 314.2725 ns/op
WorkloadActual  40: 2097152 op, 652110600.00 ns, 310.9506 ns/op
WorkloadActual  41: 2097152 op, 664441900.00 ns, 316.8306 ns/op
WorkloadActual  42: 2097152 op, 701684900.00 ns, 334.5894 ns/op
WorkloadActual  43: 2097152 op, 683856800.00 ns, 326.0883 ns/op
WorkloadActual  44: 2097152 op, 719161800.00 ns, 342.9231 ns/op
WorkloadActual  45: 2097152 op, 691549600.00 ns, 329.7565 ns/op
WorkloadActual  46: 2097152 op, 660304200.00 ns, 314.8576 ns/op
WorkloadActual  47: 2097152 op, 675535400.00 ns, 322.1204 ns/op
WorkloadActual  48: 2097152 op, 672952500.00 ns, 320.8888 ns/op
WorkloadActual  49: 2097152 op, 659479900.00 ns, 314.4645 ns/op
WorkloadActual  50: 2097152 op, 665051800.00 ns, 317.1214 ns/op
WorkloadActual  51: 2097152 op, 671044800.00 ns, 319.9791 ns/op
WorkloadActual  52: 2097152 op, 664838300.00 ns, 317.0196 ns/op
WorkloadActual  53: 2097152 op, 662614800.00 ns, 315.9594 ns/op
WorkloadActual  54: 2097152 op, 671683500.00 ns, 320.2837 ns/op
WorkloadActual  55: 2097152 op, 735599900.00 ns, 350.7614 ns/op
WorkloadActual  56: 2097152 op, 781083300.00 ns, 372.4495 ns/op
WorkloadActual  57: 2097152 op, 868785700.00 ns, 414.2693 ns/op
WorkloadActual  58: 2097152 op, 928096300.00 ns, 442.5508 ns/op
WorkloadActual  59: 2097152 op, 697880400.00 ns, 332.7753 ns/op
WorkloadActual  60: 2097152 op, 676041800.00 ns, 322.3619 ns/op
WorkloadActual  61: 2097152 op, 642978000.00 ns, 306.5958 ns/op
WorkloadActual  62: 2097152 op, 683402900.00 ns, 325.8719 ns/op
WorkloadActual  63: 2097152 op, 668607500.00 ns, 318.8169 ns/op
WorkloadActual  64: 2097152 op, 657899400.00 ns, 313.7109 ns/op
WorkloadActual  65: 2097152 op, 673522500.00 ns, 321.1606 ns/op
WorkloadActual  66: 2097152 op, 669413000.00 ns, 319.2010 ns/op
WorkloadActual  67: 2097152 op, 656237100.00 ns, 312.9182 ns/op
WorkloadActual  68: 2097152 op, 653806300.00 ns, 311.7591 ns/op
WorkloadActual  69: 2097152 op, 665164500.00 ns, 317.1751 ns/op
WorkloadActual  70: 2097152 op, 660878600.00 ns, 315.1315 ns/op
WorkloadActual  71: 2097152 op, 680118000.00 ns, 324.3055 ns/op
WorkloadActual  72: 2097152 op, 670574000.00 ns, 319.7546 ns/op
WorkloadActual  73: 2097152 op, 683777200.00 ns, 326.0504 ns/op
WorkloadActual  74: 2097152 op, 672131600.00 ns, 320.4973 ns/op
WorkloadActual  75: 2097152 op, 673276300.00 ns, 321.0432 ns/op
WorkloadActual  76: 2097152 op, 677161300.00 ns, 322.8957 ns/op
WorkloadActual  77: 2097152 op, 704876700.00 ns, 336.1114 ns/op
WorkloadActual  78: 2097152 op, 702636900.00 ns, 335.0434 ns/op
WorkloadActual  79: 2097152 op, 677218300.00 ns, 322.9228 ns/op
WorkloadActual  80: 2097152 op, 661225600.00 ns, 315.2969 ns/op
WorkloadActual  81: 2097152 op, 657875800.00 ns, 313.6996 ns/op
WorkloadActual  82: 2097152 op, 681708500.00 ns, 325.0639 ns/op
WorkloadActual  83: 2097152 op, 640659000.00 ns, 305.4900 ns/op
WorkloadActual  84: 2097152 op, 666908900.00 ns, 318.0069 ns/op
WorkloadActual  85: 2097152 op, 671465800.00 ns, 320.1798 ns/op
WorkloadActual  86: 2097152 op, 709836000.00 ns, 338.4762 ns/op
WorkloadActual  87: 2097152 op, 686953300.00 ns, 327.5649 ns/op
WorkloadActual  88: 2097152 op, 659707300.00 ns, 314.5730 ns/op
WorkloadActual  89: 2097152 op, 660495200.00 ns, 314.9487 ns/op
WorkloadActual  90: 2097152 op, 681154900.00 ns, 324.8000 ns/op
WorkloadActual  91: 2097152 op, 665928600.00 ns, 317.5395 ns/op
WorkloadActual  92: 2097152 op, 642694400.00 ns, 306.4606 ns/op
WorkloadActual  93: 2097152 op, 663315200.00 ns, 316.2933 ns/op
WorkloadActual  94: 2097152 op, 667671000.00 ns, 318.3703 ns/op
WorkloadActual  95: 2097152 op, 657417500.00 ns, 313.4811 ns/op
WorkloadActual  96: 2097152 op, 678964000.00 ns, 323.7553 ns/op
WorkloadActual  97: 2097152 op, 661032400.00 ns, 315.2048 ns/op
WorkloadActual  98: 2097152 op, 666024700.00 ns, 317.5853 ns/op
WorkloadActual  99: 2097152 op, 665647000.00 ns, 317.4052 ns/op
WorkloadActual  100: 2097152 op, 651694800.00 ns, 310.7523 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 754798900.00 ns, 359.9162 ns/op
WorkloadResult   2: 2097152 op, 802302700.00 ns, 382.5677 ns/op
WorkloadResult   3: 2097152 op, 746114100.00 ns, 355.7749 ns/op
WorkloadResult   4: 2097152 op, 759513400.00 ns, 362.1642 ns/op
WorkloadResult   5: 2097152 op, 793933900.00 ns, 378.5772 ns/op
WorkloadResult   6: 2097152 op, 696106200.00 ns, 331.9293 ns/op
WorkloadResult   7: 2097152 op, 659966200.00 ns, 314.6964 ns/op
WorkloadResult   8: 2097152 op, 652653300.00 ns, 311.2093 ns/op
WorkloadResult   9: 2097152 op, 687001000.00 ns, 327.5876 ns/op
WorkloadResult  10: 2097152 op, 636365400.00 ns, 303.4427 ns/op
WorkloadResult  11: 2097152 op, 737036000.00 ns, 351.4462 ns/op
WorkloadResult  12: 2097152 op, 797394700.00 ns, 380.2274 ns/op
WorkloadResult  13: 2097152 op, 764518600.00 ns, 364.5509 ns/op
WorkloadResult  14: 2097152 op, 805786500.00 ns, 384.2289 ns/op
WorkloadResult  15: 2097152 op, 678680500.00 ns, 323.6201 ns/op
WorkloadResult  16: 2097152 op, 673933600.00 ns, 321.3566 ns/op
WorkloadResult  17: 2097152 op, 731631700.00 ns, 348.8692 ns/op
WorkloadResult  18: 2097152 op, 635149400.00 ns, 302.8628 ns/op
WorkloadResult  19: 2097152 op, 662326900.00 ns, 315.8221 ns/op
WorkloadResult  20: 2097152 op, 656390800.00 ns, 312.9915 ns/op
WorkloadResult  21: 2097152 op, 662952000.00 ns, 316.1201 ns/op
WorkloadResult  22: 2097152 op, 668757800.00 ns, 318.8886 ns/op
WorkloadResult  23: 2097152 op, 670329000.00 ns, 319.6378 ns/op
WorkloadResult  24: 2097152 op, 674267300.00 ns, 321.5157 ns/op
WorkloadResult  25: 2097152 op, 669651000.00 ns, 319.3145 ns/op
WorkloadResult  26: 2097152 op, 698453200.00 ns, 333.0484 ns/op
WorkloadResult  27: 2097152 op, 684419100.00 ns, 326.3565 ns/op
WorkloadResult  28: 2097152 op, 654024700.00 ns, 311.8633 ns/op
WorkloadResult  29: 2097152 op, 647058000.00 ns, 308.5413 ns/op
WorkloadResult  30: 2097152 op, 659389300.00 ns, 314.4213 ns/op
WorkloadResult  31: 2097152 op, 696632300.00 ns, 332.1802 ns/op
WorkloadResult  32: 2097152 op, 678804200.00 ns, 323.6791 ns/op
WorkloadResult  33: 2097152 op, 714109200.00 ns, 340.5138 ns/op
WorkloadResult  34: 2097152 op, 686497000.00 ns, 327.3473 ns/op
WorkloadResult  35: 2097152 op, 655251600.00 ns, 312.4483 ns/op
WorkloadResult  36: 2097152 op, 670482800.00 ns, 319.7111 ns/op
WorkloadResult  37: 2097152 op, 667899900.00 ns, 318.4795 ns/op
WorkloadResult  38: 2097152 op, 654427300.00 ns, 312.0553 ns/op
WorkloadResult  39: 2097152 op, 659999200.00 ns, 314.7121 ns/op
WorkloadResult  40: 2097152 op, 665992200.00 ns, 317.5698 ns/op
WorkloadResult  41: 2097152 op, 659785700.00 ns, 314.6103 ns/op
WorkloadResult  42: 2097152 op, 657562200.00 ns, 313.5501 ns/op
WorkloadResult  43: 2097152 op, 666630900.00 ns, 317.8744 ns/op
WorkloadResult  44: 2097152 op, 730547300.00 ns, 348.3521 ns/op
WorkloadResult  45: 2097152 op, 776030700.00 ns, 370.0403 ns/op
WorkloadResult  46: 2097152 op, 692827800.00 ns, 330.3660 ns/op
WorkloadResult  47: 2097152 op, 670989200.00 ns, 319.9526 ns/op
