// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\0c89f217-c855-47c7-b8f3-7b522d2280a3
// command took 2.21 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\0c89f217-c855-47c7-b8f3-7b522d2280a3
// command took 3.56 sec and exited with 0
// ***** Done, took 00:00:05 (5.88 sec)   *****
// Found 2 benchmarks:
//   SendBenchmarks.ConduitR.Send: DefaultJob
//   SendBenchmarks.MediatR.Send: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SendBenchmarks.ConduitR.Send: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 0c89f217-c855-47c7-b8f3-7b522d2280a3.dll --anonymousPipes 2216 2612 --benchmarkName SendBenchmarks.ConduitR_Send --job Default --benchmarkId 0 in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\0c89f217-c855-47c7-b8f3-7b522d2280a3\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.11 (8.0.1124.51707), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 128900.00 ns, 128.9000 us/op
WorkloadJitting  1: 1 op, 5904600.00 ns, 5.9046 ms/op

OverheadJitting  2: 16 op, 118300.00 ns, 7.3937 us/op
WorkloadJitting  2: 16 op, 2006400.00 ns, 125.4000 us/op

WorkloadPilot    1: 16 op, 39700.00 ns, 2.4813 us/op
WorkloadPilot    2: 32 op, 55200.00 ns, 1.7250 us/op
WorkloadPilot    3: 64 op, 179000.00 ns, 2.7969 us/op
WorkloadPilot    4: 128 op, 169800.00 ns, 1.3266 us/op
WorkloadPilot    5: 256 op, 244300.00 ns, 954.2969 ns/op
WorkloadPilot    6: 512 op, 485200.00 ns, 947.6562 ns/op
WorkloadPilot    7: 1024 op, 867900.00 ns, 847.5586 ns/op
WorkloadPilot    8: 2048 op, 2007500.00 ns, 980.2246 ns/op
WorkloadPilot    9: 4096 op, 3993000.00 ns, 974.8535 ns/op
WorkloadPilot   10: 8192 op, 9010600.00 ns, 1.0999 us/op
WorkloadPilot   11: 16384 op, 15566700.00 ns, 950.1160 ns/op
WorkloadPilot   12: 32768 op, 30339000.00 ns, 925.8728 ns/op
WorkloadPilot   13: 65536 op, 52708000.00 ns, 804.2603 ns/op
WorkloadPilot   14: 131072 op, 109476200.00 ns, 835.2371 ns/op
WorkloadPilot   15: 262144 op, 204081500.00 ns, 778.5091 ns/op
WorkloadPilot   16: 524288 op, 161466600.00 ns, 307.9731 ns/op
WorkloadPilot   17: 1048576 op, 318021200.00 ns, 303.2887 ns/op
WorkloadPilot   18: 2097152 op, 640885800.00 ns, 305.5982 ns/op

OverheadWarmup   1: 2097152 op, 3755800.00 ns, 1.7909 ns/op
OverheadWarmup   2: 2097152 op, 3509700.00 ns, 1.6736 ns/op
OverheadWarmup   3: 2097152 op, 3971100.00 ns, 1.8936 ns/op
OverheadWarmup   4: 2097152 op, 3452100.00 ns, 1.6461 ns/op
OverheadWarmup   5: 2097152 op, 3451800.00 ns, 1.6459 ns/op
OverheadWarmup   6: 2097152 op, 3396400.00 ns, 1.6195 ns/op
OverheadWarmup   7: 2097152 op, 3709700.00 ns, 1.7689 ns/op
OverheadWarmup   8: 2097152 op, 3660500.00 ns, 1.7455 ns/op

OverheadActual   1: 2097152 op, 3479200.00 ns, 1.6590 ns/op
OverheadActual   2: 2097152 op, 3510200.00 ns, 1.6738 ns/op
OverheadActual   3: 2097152 op, 3555900.00 ns, 1.6956 ns/op
OverheadActual   4: 2097152 op, 3376300.00 ns, 1.6099 ns/op
OverheadActual   5: 2097152 op, 3460100.00 ns, 1.6499 ns/op
OverheadActual   6: 2097152 op, 3784000.00 ns, 1.8044 ns/op
OverheadActual   7: 2097152 op, 3368300.00 ns, 1.6061 ns/op
OverheadActual   8: 2097152 op, 3395600.00 ns, 1.6191 ns/op
OverheadActual   9: 2097152 op, 3468400.00 ns, 1.6539 ns/op
OverheadActual  10: 2097152 op, 3562100.00 ns, 1.6985 ns/op
OverheadActual  11: 2097152 op, 3415400.00 ns, 1.6286 ns/op
OverheadActual  12: 2097152 op, 3450800.00 ns, 1.6455 ns/op
OverheadActual  13: 2097152 op, 3390100.00 ns, 1.6165 ns/op
OverheadActual  14: 2097152 op, 3538600.00 ns, 1.6873 ns/op
OverheadActual  15: 2097152 op, 3486400.00 ns, 1.6624 ns/op

WorkloadWarmup   1: 2097152 op, 648549100.00 ns, 309.2523 ns/op
WorkloadWarmup   2: 2097152 op, 647996100.00 ns, 308.9886 ns/op
WorkloadWarmup   3: 2097152 op, 647585200.00 ns, 308.7927 ns/op
WorkloadWarmup   4: 2097152 op, 647678100.00 ns, 308.8370 ns/op
WorkloadWarmup   5: 2097152 op, 647493000.00 ns, 308.7487 ns/op
WorkloadWarmup   6: 2097152 op, 646700400.00 ns, 308.3708 ns/op
WorkloadWarmup   7: 2097152 op, 651771900.00 ns, 310.7891 ns/op
WorkloadWarmup   8: 2097152 op, 640945300.00 ns, 305.6265 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 663389000.00 ns, 316.3285 ns/op
WorkloadActual   2: 2097152 op, 1079135000.00 ns, 514.5717 ns/op
WorkloadActual   3: 2097152 op, 1069878600.00 ns, 510.1579 ns/op
WorkloadActual   4: 2097152 op, 1120359900.00 ns, 534.2292 ns/op
WorkloadActual   5: 2097152 op, 1079448900.00 ns, 514.7213 ns/op
WorkloadActual   6: 2097152 op, 1097014800.00 ns, 523.0974 ns/op
WorkloadActual   7: 2097152 op, 1101957000.00 ns, 525.4540 ns/op
WorkloadActual   8: 2097152 op, 1100076000.00 ns, 524.5571 ns/op
WorkloadActual   9: 2097152 op, 1069954800.00 ns, 510.1942 ns/op
WorkloadActual  10: 2097152 op, 1080081300.00 ns, 515.0229 ns/op
WorkloadActual  11: 2097152 op, 1068495900.00 ns, 509.4985 ns/op
WorkloadActual  12: 2097152 op, 1142026300.00 ns, 544.5606 ns/op
WorkloadActual  13: 2097152 op, 1112484100.00 ns, 530.4738 ns/op
WorkloadActual  14: 2097152 op, 1062318100.00 ns, 506.5527 ns/op
WorkloadActual  15: 2097152 op, 1091407000.00 ns, 520.4234 ns/op
WorkloadActual  16: 2097152 op, 1097365300.00 ns, 523.2646 ns/op
WorkloadActual  17: 2097152 op, 1070856300.00 ns, 510.6241 ns/op
WorkloadActual  18: 2097152 op, 1088455800.00 ns, 519.0162 ns/op
WorkloadActual  19: 2097152 op, 1077733500.00 ns, 513.9034 ns/op
WorkloadActual  20: 2097152 op, 1105181900.00 ns, 526.9918 ns/op
WorkloadActual  21: 2097152 op, 1114054300.00 ns, 531.2225 ns/op
WorkloadActual  22: 2097152 op, 1186743500.00 ns, 565.8834 ns/op
WorkloadActual  23: 2097152 op, 1167436300.00 ns, 556.6770 ns/op
WorkloadActual  24: 2097152 op, 1159679600.00 ns, 552.9783 ns/op
WorkloadActual  25: 2097152 op, 1156580200.00 ns, 551.5004 ns/op
WorkloadActual  26: 2097152 op, 1080504400.00 ns, 515.2246 ns/op
WorkloadActual  27: 2097152 op, 1101265300.00 ns, 525.1242 ns/op
WorkloadActual  28: 2097152 op, 1068683400.00 ns, 509.5880 ns/op
WorkloadActual  29: 2097152 op, 1082194400.00 ns, 516.0305 ns/op
WorkloadActual  30: 2097152 op, 1089035000.00 ns, 519.2924 ns/op
WorkloadActual  31: 2097152 op, 1059607000.00 ns, 505.2600 ns/op
WorkloadActual  32: 2097152 op, 1098688600.00 ns, 523.8955 ns/op
WorkloadActual  33: 2097152 op, 1091418500.00 ns, 520.4289 ns/op
WorkloadActual  34: 2097152 op, 1070622800.00 ns, 510.5127 ns/op
WorkloadActual  35: 2097152 op, 1061562600.00 ns, 506.1925 ns/op
WorkloadActual  36: 2097152 op, 1096097600.00 ns, 522.6601 ns/op
WorkloadActual  37: 2097152 op, 1185614100.00 ns, 565.3449 ns/op
WorkloadActual  38: 2097152 op, 1193297000.00 ns, 569.0084 ns/op
WorkloadActual  39: 2097152 op, 1196347900.00 ns, 570.4631 ns/op
WorkloadActual  40: 2097152 op, 1202620100.00 ns, 573.4540 ns/op
WorkloadActual  41: 2097152 op, 1158136100.00 ns, 552.2423 ns/op
WorkloadActual  42: 2097152 op, 1105297700.00 ns, 527.0470 ns/op
WorkloadActual  43: 2097152 op, 1103873700.00 ns, 526.3680 ns/op
WorkloadActual  44: 2097152 op, 1095345000.00 ns, 522.3012 ns/op
WorkloadActual  45: 2097152 op, 1083669500.00 ns, 516.7339 ns/op
WorkloadActual  46: 2097152 op, 1104165100.00 ns, 526.5069 ns/op
WorkloadActual  47: 2097152 op, 1087555500.00 ns, 518.5869 ns/op
WorkloadActual  48: 2097152 op, 1090261800.00 ns, 519.8773 ns/op
WorkloadActual  49: 2097152 op, 1077019000.00 ns, 513.5627 ns/op
WorkloadActual  50: 2097152 op, 1083824300.00 ns, 516.8077 ns/op
WorkloadActual  51: 2097152 op, 1084881500.00 ns, 517.3118 ns/op
WorkloadActual  52: 2097152 op, 1108805800.00 ns, 528.7198 ns/op
WorkloadActual  53: 2097152 op, 1092231000.00 ns, 520.8163 ns/op
WorkloadActual  54: 2097152 op, 1087364500.00 ns, 518.4958 ns/op
WorkloadActual  55: 2097152 op, 1077825700.00 ns, 513.9473 ns/op
WorkloadActual  56: 2097152 op, 1067716700.00 ns, 509.1270 ns/op
WorkloadActual  57: 2097152 op, 1148310400.00 ns, 547.5571 ns/op
WorkloadActual  58: 2097152 op, 1077924800.00 ns, 513.9946 ns/op
WorkloadActual  59: 2097152 op, 1085165800.00 ns, 517.4474 ns/op
WorkloadActual  60: 2097152 op, 1061810100.00 ns, 506.3105 ns/op
WorkloadActual  61: 2097152 op, 1072529900.00 ns, 511.4221 ns/op
WorkloadActual  62: 2097152 op, 1075755600.00 ns, 512.9602 ns/op
WorkloadActual  63: 2097152 op, 1099179200.00 ns, 524.1295 ns/op
WorkloadActual  64: 2097152 op, 1078278900.00 ns, 514.1634 ns/op
WorkloadActual  65: 2097152 op, 1095379400.00 ns, 522.3176 ns/op
WorkloadActual  66: 2097152 op, 1215754600.00 ns, 579.7170 ns/op
WorkloadActual  67: 2097152 op, 1442261500.00 ns, 687.7239 ns/op
WorkloadActual  68: 2097152 op, 1304937900.00 ns, 622.2429 ns/op
WorkloadActual  69: 2097152 op, 1121922100.00 ns, 534.9741 ns/op
WorkloadActual  70: 2097152 op, 1166592600.00 ns, 556.2747 ns/op
WorkloadActual  71: 2097152 op, 1096888300.00 ns, 523.0371 ns/op
WorkloadActual  72: 2097152 op, 1095158800.00 ns, 522.2124 ns/op
WorkloadActual  73: 2097152 op, 1080555900.00 ns, 515.2492 ns/op
WorkloadActual  74: 2097152 op, 1114881200.00 ns, 531.6168 ns/op
WorkloadActual  75: 2097152 op, 1175836800.00 ns, 560.6827 ns/op
WorkloadActual  76: 2097152 op, 1105273300.00 ns, 527.0354 ns/op
WorkloadActual  77: 2097152 op, 1072758300.00 ns, 511.5310 ns/op
WorkloadActual  78: 2097152 op, 1076199000.00 ns, 513.1717 ns/op
WorkloadActual  79: 2097152 op, 1086221300.00 ns, 517.9507 ns/op
WorkloadActual  80: 2097152 op, 1166017400.00 ns, 556.0004 ns/op
WorkloadActual  81: 2097152 op, 1178264500.00 ns, 561.8403 ns/op
WorkloadActual  82: 2097152 op, 1190843700.00 ns, 567.8385 ns/op
WorkloadActual  83: 2097152 op, 1177410900.00 ns, 561.4333 ns/op
WorkloadActual  84: 2097152 op, 1093489800.00 ns, 521.4166 ns/op
WorkloadActual  85: 2097152 op, 1062079700.00 ns, 506.4391 ns/op
WorkloadActual  86: 2097152 op, 1099481000.00 ns, 524.2734 ns/op
WorkloadActual  87: 2097152 op, 1084666900.00 ns, 517.2095 ns/op
WorkloadActual  88: 2097152 op, 1091711600.00 ns, 520.5687 ns/op
WorkloadActual  89: 2097152 op, 1078063700.00 ns, 514.0608 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 659920600.00 ns, 314.6747 ns/op
WorkloadResult   2: 2097152 op, 1075666600.00 ns, 512.9178 ns/op
WorkloadResult   3: 2097152 op, 1066410200.00 ns, 508.5040 ns/op
WorkloadResult   4: 2097152 op, 1116891500.00 ns, 532.5754 ns/op
WorkloadResult   5: 2097152 op, 1075980500.00 ns, 513.0675 ns/op
WorkloadResult   6: 2097152 op, 1093546400.00 ns, 521.4436 ns/op
WorkloadResult   7: 2097152 op, 1098488600.00 ns, 523.8002 ns/op
WorkloadResult   8: 2097152 op, 1096607600.00 ns, 522.9033 ns/op
WorkloadResult   9: 2097152 op, 1066486400.00 ns, 508.5403 ns/op
WorkloadResult  10: 2097152 op, 1076612900.00 ns, 513.3690 ns/op
WorkloadResult  11: 2097152 op, 1065027500.00 ns, 507.8447 ns/op
