// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\d7483aaa-3a40-4ee3-89e4-1a4020efed14
// command took 1.57 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\d7483aaa-3a40-4ee3-89e4-1a4020efed14
// command took 4 sec and exited with 0
// ***** Done, took 00:00:05 (5.6 sec)   *****
// Found 2 benchmarks:
//   StreamBenchmarks.'ConduitR.CreateStream consume 16': DefaultJob
//   StreamBenchmarks.'MediatR.CreateStream consume 16': DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: StreamBenchmarks.'ConduitR.CreateStream consume 16': DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet d7483aaa-3a40-4ee3-89e4-1a4020efed14.dll --anonymousPipes 1680 2220 --benchmarkName StreamBenchmarks.ConduitR_Stream --job Default --benchmarkId 0 in C:\Reza\Projects\ConduitR\benchmarks\ConduitR.Benchmarks.Compare\bin\Release\net8.0\d7483aaa-3a40-4ee3-89e4-1a4020efed14\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.11 (8.0.1124.51707), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 147200.00 ns, 147.2000 us/op
WorkloadJitting  1: 1 op, 10264700.00 ns, 10.2647 ms/op

OverheadJitting  2: 16 op, 134100.00 ns, 8.3812 us/op
WorkloadJitting  2: 16 op, 1772900.00 ns, 110.8063 us/op

WorkloadPilot    1: 16 op, 1731200.00 ns, 108.2000 us/op
WorkloadPilot    2: 32 op, 1615100.00 ns, 50.4719 us/op
WorkloadPilot    3: 64 op, 2347800.00 ns, 36.6844 us/op
WorkloadPilot    4: 128 op, 3234800.00 ns, 25.2719 us/op
WorkloadPilot    5: 256 op, 9388700.00 ns, 36.6746 us/op
WorkloadPilot    6: 512 op, 17466500.00 ns, 34.1143 us/op
WorkloadPilot    7: 1024 op, 35117100.00 ns, 34.2940 us/op
WorkloadPilot    8: 2048 op, 64041100.00 ns, 31.2701 us/op
WorkloadPilot    9: 4096 op, 109193100.00 ns, 26.6585 us/op
WorkloadPilot   10: 8192 op, 260014400.00 ns, 31.7400 us/op
WorkloadPilot   11: 16384 op, 437104900.00 ns, 26.6788 us/op
WorkloadPilot   12: 32768 op, 430037500.00 ns, 13.1237 us/op
WorkloadPilot   13: 65536 op, 861599100.00 ns, 13.1470 us/op

OverheadWarmup   1: 65536 op, 131400.00 ns, 2.0050 ns/op
OverheadWarmup   2: 65536 op, 131500.00 ns, 2.0065 ns/op
OverheadWarmup   3: 65536 op, 131200.00 ns, 2.0020 ns/op
OverheadWarmup   4: 65536 op, 127800.00 ns, 1.9501 ns/op
OverheadWarmup   5: 65536 op, 127300.00 ns, 1.9424 ns/op
OverheadWarmup   6: 65536 op, 127700.00 ns, 1.9485 ns/op
OverheadWarmup   7: 65536 op, 127800.00 ns, 1.9501 ns/op
OverheadWarmup   8: 65536 op, 127400.00 ns, 1.9440 ns/op

OverheadActual   1: 65536 op, 127600.00 ns, 1.9470 ns/op
OverheadActual   2: 65536 op, 135400.00 ns, 2.0660 ns/op
OverheadActual   3: 65536 op, 124200.00 ns, 1.8951 ns/op
OverheadActual   4: 65536 op, 131000.00 ns, 1.9989 ns/op
OverheadActual   5: 65536 op, 130900.00 ns, 1.9974 ns/op
OverheadActual   6: 65536 op, 131000.00 ns, 1.9989 ns/op
OverheadActual   7: 65536 op, 130800.00 ns, 1.9958 ns/op
OverheadActual   8: 65536 op, 127300.00 ns, 1.9424 ns/op
OverheadActual   9: 65536 op, 127200.00 ns, 1.9409 ns/op
OverheadActual  10: 65536 op, 127400.00 ns, 1.9440 ns/op
OverheadActual  11: 65536 op, 127400.00 ns, 1.9440 ns/op
